67 1657 9388
A B C D E F G H I J K L 0,0 0,1 0,2 0,3 0,4 1,0 1,1 1,2 1,3 1,4 2,0 2,1 2,2 2,3 2,4 3,0 3,1 3,2 3,3 3,4 4,0 4,1 4,2 4,3 4,4 5,0 5,1 5,2 5,3 5,4 6,0 6,1 6,2 6,3 6,4 7,0 7,1 7,2 7,3 7,4 8,0 8,1 8,2 8,3 8,4 9,0 9,1 9,2 9,3 9,4 10,0 10,1 10,2 10,3 10,4
A 0,0 1,0 2,0 3,0
A 0,1 1,1 2,1 3,1
A 0,2 1,2 2,2 3,2
A 0,3 1,3 2,3 3,3
A 0,4 1,4 2,4 3,4
A 1,0 2,0 3,0 4,0
A 1,1 2,1 3,1 4,1
A 1,2 2,2 3,2 4,2
A 1,3 2,3 3,3 4,3
A 1,4 2,4 3,4 4,4
A 2,0 3,0 4,0 5,0
A 2,1 3,1 4,1 5,1
A 2,2 3,2 4,2 5,2
A 2,3 3,3 4,3 5,3
A 2,4 3,4 4,4 5,4
A 3,0 4,0 5,0 6,0
A 3,1 4,1 5,1 6,1
A 3,2 4,2 5,2 6,2
A 3,3 4,3 5,3 6,3
A 3,4 4,4 5,4 6,4
A 4,0 5,0 6,0 7,0
A 4,1 5,1 6,1 7,1
A 4,2 5,2 6,2 7,2
A 4,3 5,3 6,3 7,3
A 4,4 5,4 6,4 7,4
A 5,0 6,0 7,0 8,0
A 5,1 6,1 7,1 8,1
A 5,2 6,2 7,2 8,2
A 5,3 6,3 7,3 8,3
A 5,4 6,4 7,4 8,4
A 6,0 7,0 8,0 9,0
A 6,1 7,1 8,1 9,1
A 6,2 7,2 8,2 9,2
A 6,3 7,3 8,3 9,3
A 6,4 7,4 8,4 9,4
A 7,0 8,0 9,0 10,0
A 7,1 8,1 9,1 10,1
A 7,2 8,2 9,2 10,2
A 7,3 8,3 9,3 10,3
A 7,4 8,4 9,4 10,4
A 0,0 0,1 0,2 0,3
A 0,1 0,2 0,3 0,4
A 1,0 1,1 1,2 1,3
A 1,1 1,2 1,3 1,4
A 2,0 2,1 2,2 2,3
A 2,1 2,2 2,3 2,4
A 3,0 3,1 3,2 3,3
A 3,1 3,2 3,3 3,4
A 4,0 4,1 4,2 4,3
A 4,1 4,2 4,3 4,4
A 5,0 5,1 5,2 5,3
A 5,1 5,2 5,3 5,4
A 6,0 6,1 6,2 6,3
A 6,1 6,2 6,3 6,4
A 7,0 7,1 7,2 7,3
A 7,1 7,2 7,3 7,4
A 8,0 8,1 8,2 8,3
A 8,1 8,2 8,3 8,4
A 9,0 9,1 9,2 9,3
A 9,1 9,2 9,3 9,4
A 10,0 10,1 10,2 10,3
A 10,1 10,2 10,3 10,4
B 7,2 8,2 9,2 10,2 7,1
B 7,3 8,3 9,3 10,3 7,2
B 7,4 8,4 9,4 10,4 7,3
B 1,0 1,1 1,2 1,3 0,0
B 1,1 1,2 1,3 1,4 0,1
B 2,0 2,1 2,2 2,3 1,0
B 2,1 2,2 2,3 2,4 1,1
B 3,0 3,1 3,2 3,3 2,0
B 3,1 3,2 3,3 3,4 2,1
B 4,0 4,1 4,2 4,3 3,0
B 4,1 4,2 4,3 4,4 3,1
B 5,0 5,1 5,2 5,3 4,0
B 5,1 5,2 5,3 5,4 4,1
B 6,0 6,1 6,2 6,3 5,0
B 6,1 6,2 6,3 6,4 5,1
B 7,0 7,1 7,2 7,3 6,0
B 7,1 7,2 7,3 7,4 6,1
B 8,0 8,1 8,2 8,3 7,0
B 8,1 8,2 8,3 8,4 7,1
B 9,0 9,1 9,2 9,3 8,0
B 9,1 9,2 9,3 9,4 8,1
B 10,0 10,1 10,2 10,3 9,0
B 10,1 10,2 10,3 10,4 9,1
B 0,0 0,1 0,2 0,3 1,0
B 0,1 0,2 0,3 0,4 1,1
B 1,0 1,1 1,2 1,3 2,0
B 1,1 1,2 1,3 1,4 2,1
B 2,0 2,1 2,2 2,3 3,0
B 2,1 2,2 2,3 2,4 3,1
B 3,0 3,1 3,2 3,3 4,0
B 3,1 3,2 3,3 3,4 4,1
B 4,0 4,1 4,2 4,3 5,0
B 4,1 4,2 4,3 4,4 5,1
B 5,0 5,1 5,2 5,3 6,0
B 5,1 5,2 5,3 5,4 6,1
B 6,0 6,1 6,2 6,3 7,0
B 6,1 6,2 6,3 6,4 7,1
B 7,0 7,1 7,2 7,3 8,0
B 7,1 7,2 7,3 7,4 8,1
B 8,0 8,1 8,2 8,3 9,0
B 8,1 8,2 8,3 8,4 9,1
B 9,0 9,1 9,2 9,3 10,0
B 9,1 9,2 9,3 9,4 10,1
B 3,1 2,1 1,1 0,1 3,0
B 3,2 2,2 1,2 0,2 3,1
B 3,3 2,3 1,3 0,3 3,2
B 3,4 2,4 1,4 0,4 3,3
B 4,1 3,1 2,1 1,1 4,0
B 4,2 3,2 2,2 1,2 4,1
B 4,3 3,3 2,3 1,3 4,2
B 4,4 3,4 2,4 1,4 4,3
B 5,1 4,1 3,1 2,1 5,0
B 5,2 4,2 3,2 2,2 5,1
B 5,3 4,3 3,3 2,3 5,2
B 5,4 4,4 3,4 2,4 5,3
B 6,1 5,1 4,1 3,1 6,0
B 6,2 5,2 4,2 3,2 6,1
B 6,3 5,3 4,3 3,3 6,2
B 6,4 5,4 4,4 3,4 6,3
B 7,1 6,1 5,1 4,1 7,0
B 7,2 6,2 5,2 4,2 7,1
B 7,3 6,3 5,3 4,3 7,2
B 7,4 6,4 5,4 4,4 7,3
B 8,1 7,1 6,1 5,1 8,0
B 8,2 7,2 6,2 5,2 8,1
B 8,3 7,3 6,3 5,3 8,2
B 8,4 7,4 6,4 5,4 8,3
B 9,1 8,1 7,1 6,1 9,0
B 9,2 8,2 7,2 6,2 9,1
B 9,3 8,3 7,3 6,3 9,2
B 9,4 8,4 7,4 6,4 9,3
B 10,1 9,1 8,1 7,1 10,0
B 10,2 9,2 8,2 7,2 10,1
B 10,3 9,3 8,3 7,3 10,2
B 10,4 9,4 8,4 7,4 10,3
B 3,0 2,0 1,0 0,0 3,1
B 3,1 2,1 1,1 0,1 3,2
B 3,2 2,2 1,2 0,2 3,3
B 3,3 2,3 1,3 0,3 3,4
B 4,0 3,0 2,0 1,0 4,1
B 4,1 3,1 2,1 1,1 4,2
B 4,2 3,2 2,2 1,2 4,3
B 4,3 3,3 2,3 1,3 4,4
B 5,0 4,0 3,0 2,0 5,1
B 5,1 4,1 3,1 2,1 5,2
B 5,2 4,2 3,2 2,2 5,3
B 5,3 4,3 3,3 2,3 5,4
B 6,0 5,0 4,0 3,0 6,1
B 6,1 5,1 4,1 3,1 6,2
B 6,2 5,2 4,2 3,2 6,3
B 6,3 5,3 4,3 3,3 6,4
B 7,0 6,0 5,0 4,0 7,1
B 7,1 6,1 5,1 4,1 7,2
B 7,2 6,2 5,2 4,2 7,3
B 7,3 6,3 5,3 4,3 7,4
B 8,0 7,0 6,0 5,0 8,1
B 8,1 7,1 6,1 5,1 8,2
B 8,2 7,2 6,2 5,2 8,3
B 8,3 7,3 6,3 5,3 8,4
B 9,0 8,0 7,0 6,0 9,1
B 9,1 8,1 7,1 6,1 9,2
B 9,2 8,2 7,2 6,2 9,3
B 9,3 8,3 7,3 6,3 9,4
B 10,0 9,0 8,0 7,0 10,1
B 10,1 9,1 8,1 7,1 10,2
B 10,2 9,2 8,2 7,2 10,3
B 10,3 9,3 8,3 7,3 10,4
B 0,3 0,2 0,1 0,0 1,3
B 0,4 0,3 0,2 0,1 1,4
B 1,3 1,2 1,1 1,0 2,3
B 1,4 1,3 1,2 1,1 2,4
B 2,3 2,2 2,1 2,0 3,3
B 2,4 2,3 2,2 2,1 3,4
B 3,3 3,2 3,1 3,0 4,3
B 3,4 3,3 3,2 3,1 4,4
B 4,3 4,2 4,1 4,0 5,3
B 4,4 4,3 4,2 4,1 5,4
B 5,3 5,2 5,1 5,0 6,3
B 5,4 5,3 5,2 5,1 6,4
B 6,3 6,2 6,1 6,0 7,3
B 6,4 6,3 6,2 6,1 7,4
B 7,3 7,2 7,1 7,0 8,3
B 7,4 7,3 7,2 7,1 8,4
B 8,3 8,2 8,1 8,0 9,3
B 8,4 8,3 8,2 8,1 9,4
B 9,3 9,2 9,1 9,0 10,3
B 9,4 9,3 9,2 9,1 10,4
B 1,3 1,2 1,1 1,0 0,3
B 1,4 1,3 1,2 1,1 0,4
B 2,3 2,2 2,1 2,0 1,3
B 2,4 2,3 2,2 2,1 1,4
B 3,3 3,2 3,1 3,0 2,3
B 3,4 3,3 3,2 3,1 2,4
B 4,3 4,2 4,1 4,0 3,3
B 4,4 4,3 4,2 4,1 3,4
B 5,3 5,2 5,1 5,0 4,3
B 5,4 5,3 5,2 5,1 4,4
B 6,3 6,2 6,1 6,0 5,3
B 6,4 6,3 6,2 6,1 5,4
B 7,3 7,2 7,1 7,0 6,3
B 7,4 7,3 7,2 7,1 6,4
B 8,3 8,2 8,1 8,0 7,3
B 8,4 8,3 8,2 8,1 7,4
B 9,3 9,2 9,1 9,0 8,3
B 9,4 9,3 9,2 9,1 8,4
B 10,3 10,2 10,1 10,0 9,3
B 10,4 10,3 10,2 10,1 9,4
C 0,0 1,0 2,0 0,1
C 0,1 1,1 2,1 0,2
C 0,2 1,2 2,2 0,3
C 0,3 1,3 2,3 0,4
C 1,0 2,0 3,0 1,1
C 1,1 2,1 3,1 1,2
C 1,2 2,2 3,2 1,3
C 1,3 2,3 3,3 1,4
C 2,0 3,0 4,0 2,1
C 2,1 3,1 4,1 2,2
C 2,2 3,2 4,2 2,3
C 2,3 3,3 4,3 2,4
C 3,0 4,0 5,0 3,1
C 3,1 4,1 5,1 3,2
C 3,2 4,2 5,2 3,3
C 3,3 4,3 5,3 3,4
C 4,0 5,0 6,0 4,1
C 4,1 5,1 6,1 4,2
C 4,2 5,2 6,2 4,3
C 4,3 5,3 6,3 4,4
C 5,0 6,0 7,0 5,1
C 5,1 6,1 7,1 5,2
C 5,2 6,2 7,2 5,3
C 5,3 6,3 7,3 5,4
C 6,0 7,0 8,0 6,1
C 6,1 7,1 8,1 6,2
C 6,2 7,2 8,2 6,3
C 6,3 7,3 8,3 6,4
C 7,0 8,0 9,0 7,1
C 7,1 8,1 9,1 7,2
C 7,2 8,2 9,2 7,3
C 7,3 8,3 9,3 7,4
C 8,0 9,0 10,0 8,1
C 8,1 9,1 10,1 8,2
C 8,2 9,2 10,2 8,3
C 8,3 9,3 10,3 8,4
C 1,0 1,1 1,2 0,0
C 1,1 1,2 1,3 0,1
C 1,2 1,3 1,4 0,2
C 2,0 2,1 2,2 1,0
C 2,1 2,2 2,3 1,1
C 2,2 2,3 2,4 1,2
C 3,0 3,1 3,2 2,0
C 3,1 3,2 3,3 2,1
C 3,2 3,3 3,4 2,2
C 4,0 4,1 4,2 3,0
C 4,1 4,2 4,3 3,1
C 4,2 4,3 4,4 3,2
C 5,0 5,1 5,2 4,0
C 5,1 5,2 5,3 4,1
C 5,2 5,3 5,4 4,2
C 6,0 6,1 6,2 5,0
C 6,1 6,2 6,3 5,1
C 6,2 6,3 6,4 5,2
C 7,0 7,1 7,2 6,0
C 7,1 7,2 7,3 6,1
C 7,2 7,3 7,4 6,2
C 8,0 8,1 8,2 7,0
C 8,1 8,2 8,3 7,1
C 8,2 8,3 8,4 7,2
C 9,0 9,1 9,2 8,0
C 9,1 9,2 9,3 8,1
C 9,2 9,3 9,4 8,2
C 10,0 10,1 10,2 9,0
C 10,1 10,2 10,3 9,1
C 10,2 10,3 10,4 9,2
C 2,1 1,1 0,1 2,0
C 2,2 1,2 0,2 2,1
C 2,3 1,3 0,3 2,2
C 2,4 1,4 0,4 2,3
C 3,1 2,1 1,1 3,0
C 3,2 2,2 1,2 3,1
C 3,3 2,3 1,3 3,2
C 3,4 2,4 1,4 3,3
C 4,1 3,1 2,1 4,0
C 4,2 3,2 2,2 4,1
C 4,3 3,3 2,3 4,2
C 4,4 3,4 2,4 4,3
C 5,1 4,1 3,1 5,0
C 5,2 4,2 3,2 5,1
C 5,3 4,3 3,3 5,2
C 5,4 4,4 3,4 5,3
C 6,1 5,1 4,1 6,0
C 6,2 5,2 4,2 6,1
C 6,3 5,3 4,3 6,2
C 6,4 5,4 4,4 6,3
C 7,1 6,1 5,1 7,0
C 7,2 6,2 5,2 7,1
C 7,3 6,3 5,3 7,2
C 7,4 6,4 5,4 7,3
C 8,1 7,1 6,1 8,0
C 8,2 7,2 6,2 8,1
C 8,3 7,3 6,3 8,2
C 8,4 7,4 6,4 8,3
C 9,1 8,1 7,1 9,0
C 9,2 8,2 7,2 9,1
C 9,3 8,3 7,3 9,2
C 9,4 8,4 7,4 9,3
C 10,1 9,1 8,1 10,0
C 10,2 9,2 8,2 10,1
C 10,3 9,3 8,3 10,2
C 10,4 9,4 8,4 10,3
C 0,2 0,1 0,0 1,2
C 0,3 0,2 0,1 1,3
C 0,4 0,3 0,2 1,4
C 1,2 1,1 1,0 2,2
C 1,3 1,2 1,1 2,3
C 1,4 1,3 1,2 2,4
C 2,2 2,1 2,0 3,2
C 2,3 2,2 2,1 3,3
C 2,4 2,3 2,2 3,4
C 3,2 3,1 3,0 4,2
C 3,3 3,2 3,1 4,3
C 3,4 3,3 3,2 4,4
C 4,2 4,1 4,0 5,2
C 4,3 4,2 4,1 5,3
C 4,4 4,3 4,2 5,4
C 5,2 5,1 5,0 6,2
C 5,3 5,2 5,1 6,3
C 5,4 5,3 5,2 6,4
C 6,2 6,1 6,0 7,2
C 6,3 6,2 6,1 7,3
C 6,4 6,3 6,2 7,4
C 7,2 7,1 7,0 8,2
C 7,3 7,2 7,1 8,3
C 7,4 7,3 7,2 8,4
C 8,2 8,1 8,0 9,2
C 8,3 8,2 8,1 9,3
C 8,4 8,3 8,2 9,4
C 9,2 9,1 9,0 10,2
C 9,3 9,2 9,1 10,3
C 9,4 9,3 9,2 10,4
D 0,0 1,0 2,0 0,1 0,2
D 0,1 1,1 2,1 0,2 0,3
D 0,2 1,2 2,2 0,3 0,4
D 1,0 2,0 3,0 1,1 1,2
D 1,1 2,1 3,1 1,2 1,3
D 1,2 2,2 3,2 1,3 1,4
D 2,0 3,0 4,0 2,1 2,2
D 2,1 3,1 4,1 2,2 2,3
D 2,2 3,2 4,2 2,3 2,4
D 3,0 4,0 5,0 3,1 3,2
D 3,1 4,1 5,1 3,2 3,3
D 3,2 4,2 5,2 3,3 3,4
D 4,0 5,0 6,0 4,1 4,2
D 4,1 5,1 6,1 4,2 4,3
D 4,2 5,2 6,2 4,3 4,4
D 5,0 6,0 7,0 5,1 5,2
D 5,1 6,1 7,1 5,2 5,3
D 5,2 6,2 7,2 5,3 5,4
D 6,0 7,0 8,0 6,1 6,2
D 6,1 7,1 8,1 6,2 6,3
D 6,2 7,2 8,2 6,3 6,4
D 7,0 8,0 9,0 7,1 7,2
D 7,1 8,1 9,1 7,2 7,3
D 7,2 8,2 9,2 7,3 7,4
D 8,0 9,0 10,0 8,1 8,2
D 8,1 9,1 10,1 8,2 8,3
D 8,2 9,2 10,2 8,3 8,4
D 2,0 2,1 2,2 1,0 0,0
D 2,1 2,2 2,3 1,1 0,1
D 2,2 2,3 2,4 1,2 0,2
D 3,0 3,1 3,2 2,0 1,0
D 3,1 3,2 3,3 2,1 1,1
D 3,2 3,3 3,4 2,2 1,2
D 4,0 4,1 4,2 3,0 2,0
D 4,1 4,2 4,3 3,1 2,1
D 4,2 4,3 4,4 3,2 2,2
D 5,0 5,1 5,2 4,0 3,0
D 5,1 5,2 5,3 4,1 3,1
D 5,2 5,3 5,4 4,2 3,2
D 6,0 6,1 6,2 5,0 4,0
D 6,1 6,2 6,3 5,1 4,1
D 6,2 6,3 6,4 5,2 4,2
D 7,0 7,1 7,2 6,0 5,0
D 7,1 7,2 7,3 6,1 5,1
D 7,2 7,3 7,4 6,2 5,2
D 8,0 8,1 8,2 7,0 6,0
D 8,1 8,2 8,3 7,1 6,1
D 8,2 8,3 8,4 7,2 6,2
D 9,0 9,1 9,2 8,0 7,0
D 9,1 9,2 9,3 8,1 7,1
D 9,2 9,3 9,4 8,2 7,2
D 10,0 10,1 10,2 9,0 8,0
D 10,1 10,2 10,3 9,1 8,1
D 10,2 10,3 10,4 9,2 8,2
D 2,2 1,2 0,2 2,1 2,0
D 2,3 1,3 0,3 2,2 2,1
D 2,4 1,4 0,4 2,3 2,2
D 3,2 2,2 1,2 3,1 3,0
D 3,3 2,3 1,3 3,2 3,1
D 3,4 2,4 1,4 3,3 3,2
D 4,2 3,2 2,2 4,1 4,0
D 4,3 3,3 2,3 4,2 4,1
D 4,4 3,4 2,4 4,3 4,2
D 5,2 4,2 3,2 5,1 5,0
D 5,3 4,3 3,3 5,2 5,1
D 5,4 4,4 3,4 5,3 5,2
D 6,2 5,2 4,2 6,1 6,0
D 6,3 5,3 4,3 6,2 6,1
D 6,4 5,4 4,4 6,3 6,2
D 7,2 6,2 5,2 7,1 7,0
D 7,3 6,3 5,3 7,2 7,1
D 7,4 6,4 5,4 7,3 7,2
D 8,2 7,2 6,2 8,1 8,0
D 8,3 7,3 6,3 8,2 8,1
D 8,4 7,4 6,4 8,3 8,2
D 9,2 8,2 7,2 9,1 9,0
D 9,3 8,3 7,3 9,2 9,1
D 9,4 8,4 7,4 9,3 9,2
D 10,2 9,2 8,2 10,1 10,0
D 10,3 9,3 8,3 10,2 10,1
D 10,4 9,4 8,4 10,3 10,2
D 0,2 0,1 0,0 1,2 2,2
D 0,3 0,2 0,1 1,3 2,3
D 0,4 0,3 0,2 1,4 2,4
D 1,2 1,1 1,0 2,2 3,2
D 1,3 1,2 1,1 2,3 3,3
D 1,4 1,3 1,2 2,4 3,4
D 2,2 2,1 2,0 3,2 4,2
D 2,3 2,2 2,1 3,3 4,3
D 2,4 2,3 2,2 3,4 4,4
D 3,2 3,1 3,0 4,2 5,2
D 3,3 3,2 3,1 4,3 5,3
D 3,4 3,3 3,2 4,4 5,4
D 4,2 4,1 4,0 5,2 6,2
D 4,3 4,2 4,1 5,3 6,3
D 4,4 4,3 4,2 5,4 6,4
D 5,2 5,1 5,0 6,2 7,2
D 5,3 5,2 5,1 6,3 7,3
D 5,4 5,3 5,2 6,4 7,4
D 6,2 6,1 6,0 7,2 8,2
D 6,3 6,2 6,1 7,3 8,3
D 6,4 6,3 6,2 7,4 8,4
D 7,2 7,1 7,0 8,2 9,2
D 7,3 7,2 7,1 8,3 9,3
D 7,4 7,3 7,2 8,4 9,4
D 8,2 8,1 8,0 9,2 10,2
D 8,3 8,2 8,1 9,3 10,3
D 8,4 8,3 8,2 9,4 10,4
E 0,0 1,0 2,0 0,1 1,1
E 0,1 1,1 2,1 0,2 1,2
E 0,2 1,2 2,2 0,3 1,3
E 0,3 1,3 2,3 0,4 1,4
E 1,0 2,0 3,0 1,1 2,1
E 1,1 2,1 3,1 1,2 2,2
E 1,2 2,2 3,2 1,3 2,3
E 1,3 2,3 3,3 1,4 2,4
E 2,0 3,0 4,0 2,1 3,1
E 2,1 3,1 4,1 2,2 3,2
E 2,2 3,2 4,2 2,3 3,3
E 2,3 3,3 4,3 2,4 3,4
E 3,0 4,0 5,0 3,1 4,1
E 3,1 4,1 5,1 3,2 4,2
E 3,2 4,2 5,2 3,3 4,3
E 3,3 4,3 5,3 3,4 4,4
E 4,0 5,0 6,0 4,1 5,1
E 4,1 5,1 6,1 4,2 5,2
E 4,2 5,2 6,2 4,3 5,3
E 4,3 5,3 6,3 4,4 5,4
E 5,0 6,0 7,0 5,1 6,1
E 5,1 6,1 7,1 5,2 6,2
E 5,2 6,2 7,2 5,3 6,3
E 5,3 6,3 7,3 5,4 6,4
E 6,0 7,0 8,0 6,1 7,1
E 6,1 7,1 8,1 6,2 7,2
E 6,2 7,2 8,2 6,3 7,3
E 6,3 7,3 8,3 6,4 7,4
E 7,0 8,0 9,0 7,1 8,1
E 7,1 8,1 9,1 7,2 8,2
E 7,2 8,2 9,2 7,3 8,3
E 7,3 8,3 9,3 7,4 8,4
E 8,0 9,0 10,0 8,1 9,1
E 8,1 9,1 10,1 8,2 9,2
E 8,2 9,2 10,2 8,3 9,3
E 8,3 9,3 10,3 8,4 9,4
E 0,1 1,1 2,1 0,0 1,0
E 0,2 1,2 2,2 0,1 1,1
E 0,3 1,3 2,3 0,2 1,2
E 0,4 1,4 2,4 0,3 1,3
E 1,1 2,1 3,1 1,0 2,0
E 1,2 2,2 3,2 1,1 2,1
E 1,3 2,3 3,3 1,2 2,2
E 1,4 2,4 3,4 1,3 2,3
E 2,1 3,1 4,1 2,0 3,0
E 2,2 3,2 4,2 2,1 3,1
E 2,3 3,3 4,3 2,2 3,2
E 2,4 3,4 4,4 2,3 3,3
E 3,1 4,1 5,1 3,0 4,0
E 3,2 4,2 5,2 3,1 4,1
E 3,3 4,3 5,3 3,2 4,2
E 3,4 4,4 5,4 3,3 4,3
E 4,1 5,1 6,1 4,0 5,0
E 4,2 5,2 6,2 4,1 5,1
E 4,3 5,3 6,3 4,2 5,2
E 4,4 5,4 6,4 4,3 5,3
E 5,1 6,1 7,1 5,0 6,0
E 5,2 6,2 7,2 5,1 6,1
E 5,3 6,3 7,3 5,2 6,2
E 5,4 6,4 7,4 5,3 6,3
E 6,1 7,1 8,1 6,0 7,0
E 6,2 7,2 8,2 6,1 7,1
E 6,3 7,3 8,3 6,2 7,2
E 6,4 7,4 8,4 6,3 7,3
E 7,1 8,1 9,1 7,0 8,0
E 7,2 8,2 9,2 7,1 8,1
E 7,3 8,3 9,3 7,2 8,2
E 7,4 8,4 9,4 7,3 8,3
E 8,1 9,1 10,1 8,0 9,0
E 8,2 9,2 10,2 8,1 9,1
E 8,3 9,3 10,3 8,2 9,2
E 8,4 9,4 10,4 8,3 9,3
E 1,0 1,1 1,2 0,0 0,1
E 1,1 1,2 1,3 0,1 0,2
E 1,2 1,3 1,4 0,2 0,3
E 2,0 2,1 2,2 1,0 1,1
E 2,1 2,2 2,3 1,1 1,2
E 2,2 2,3 2,4 1,2 1,3
E 3,0 3,1 3,2 2,0 2,1
E 3,1 3,2 3,3 2,1 2,2
E 3,2 3,3 3,4 2,2 2,3
E 4,0 4,1 4,2 3,0 3,1
E 4,1 4,2 4,3 3,1 3,2
E 4,2 4,3 4,4 3,2 3,3
E 5,0 5,1 5,2 4,0 4,1
E 5,1 5,2 5,3 4,1 4,2
E 5,2 5,3 5,4 4,2 4,3
E 6,0 6,1 6,2 5,0 5,1
E 6,1 6,2 6,3 5,1 5,2
